slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,is_combined_totalsslug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
antetth01,Thanasis Antetokounmpo,SMALL FORWARD,27,MILWAUKEE BUCKS,20,129,12.2,0.496,0.208,0.354,9.8,8.7,9.2,16.3,2.5,1.4,17.8,21.6,-0.1,0.2,0.2,0.07,-4.6,1.4,-3.2,0.0,Falseantetth01,Thanasis Antetokounmpo,SMALL FORWARD,27,MILWAUKEE BUCKS,20,2,129,24,48,0,10,7,17,12,12,15,7,2,12,18,55
anthoca01,Carmelo Anthony,POWER FORWARD,35,PORTLAND TRAIL BLAZERS,58,1902,12.4,0.525,0.289,0.206,4.0,16.1,10.1,6.4,1.2,1.2,10.5,21.2,0.4,0.9,1.3,0.033,-1.8,-1.8,-3.6,-0.8,Falseanthoca01,Carmelo Anthony,POWER FORWARD,35,PORTLAND TRAIL BLAZERS,58,58,1902,336,782,87,226,136,161,71,297,85,49,27,100,171,895
anunoog01,OG Anunoby,SMALL FORWARD,22,TORONTO RAPTORS,69,2066,13.2,0.6,0.403,0.18,4.2,14.2,9.3,7.5,2.2,2.1,11.5,14.3,2.1,3.7,5.7,0.134,-0.8,1.9,1.2,1.7,Falseanunoog01,OG Anunoby,SMALL FORWARD,22,TORONTO RAPTORS,69,68,2066,286,566,89,228,72,102,80,284,108,96,45,79,167,733
arcidry01,Ryan Arcidiacono,POINT GUARD,25,CHICAGO BULLS,58,930,9.0,0.551,0.627,0.173,2.3,11.2,6.5,14.3,1.4,0.3,13.5,12.5,0.7,0.7,1.4,0.071,-2.7,-0.1,-2.8,-0.2,Falsearcidry01,Ryan Arcidiacono,POINT GUARD,25,CHICAGO BULLS,58,4,930,90,220,54,138,27,38,20,90,96,27,3,37,96,261
arizatr01,Trevor Ariza,SMALL FORWARD,34,SACRAMENTO KINGS,32,791,9.4,0.543,0.739,0.164,2.9,18.2,10.4,8.3,2.1,0.8,13.7,11.2,0.3,0.8,1.1,0.066,-1.9,1.3,-0.7,0.3,Falsearizatr01,Trevor Ariza,SMALL FORWARD,34,SACRAMENTO KINGS,32,0,791,64,165,43,122,21,27,21,125,50,35,7,28,63,192
arizatr01,Trevor Ariza,SMALL FORWARD,34,PORTLAND TRAIL BLAZERS,21,702,12.8,0.643,0.535,0.296,2.0,12.8,7.4,7.6,2.3,1.0,13.5,12.5,1.0,0.4,1.4,0.098,-0.9,0.4,-0.4,0.3,Falsearizatr01,Trevor Ariza,SMALL FORWARD,34,PORTLAND TRAIL BLAZERS,21,21,702,78,159,34,85,41,47,13,87,41,34,8,28,48,231
augusdj01,D.J. Augustin,POINT GUARD,32,ORLANDO MAGIC,57,1420,14.0,0.554,0.436,0.393,1.6,7.8,4.6,26.8,1.2,0.1,13.7,19.1,2.0,0.9,2.9,0.098,-0.3,-1.3,-1.6,0.2,Falseaugusdj01,D.J. Augustin,POINT GUARD,32,ORLANDO MAGIC,57,13,1420,184,461,70,201,161,181,22,100,262,34,1,86,72,599
aytonde01,Deandre Ayton,CENTER,21,PHOENIX SUNS,38,1236,20.0,0.568,0.023,0.157,13.0,26.3,19.6,9.7,1.0,4.1,11.6,23.7,1.5,1.6,3.1,0.121,0.8,-0.4,0.4,0.7,Falseaytonde01,Deandre Ayton,CENTER,21,PHOENIX SUNS,38,32,1236,310,568,3,13,67,89,147,289,72,26,58,80,117,690
bacondw01,Dwayne Bacon,SHOOTING GUARD,24,CHARLOTTE HORNETS,39,687,6.1,0.419,0.275,0.217,2.3,14.0,7.9,11.7,1.7,0.3,12.2,19.5,-1.2,0.4,-0.8,-0.053,-5.9,-0.9,-6.8,-0.8,Falsebacondw01,Dwayne Bacon,SHOOTING GUARD,24,CHARLOTTE HORNETS,39,11,687,85,244,19,67,35,53,15,85,52,23,2,37,52,224
baglema01,Marvin Bagley III,CENTER,20,SACRAMENTO KINGS,13,334,15.6,0.512,0.132,0.186,9.5,23.5,16.3,4.9,0.9,3.4,9.1,25.8,0.0,0.3,0.4,0.051,-2.2,-1.3,-3.5,-0.1,Falsebaglema01,Marvin Bagley III,CENTER,20,SACRAMENTO KINGS,13,6,334,78,167,4,22,25,31,29,68,10,6,12,18,43,185
