slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,is_combined_totalsslug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
bongais01,Isaac Bonga,SMALL FORWARD,20,WASHINGTON WIZARDS,66,1250,10.2,0.608,0.303,0.363,6.0,13.8,9.7,7.9,1.7,1.5,17.6,11.0,1.2,0.6,1.8,0.068,-2.7,-0.1,-2.8,-0.3,Falsebongais01,Isaac Bonga,SMALL FORWARD,20,WASHINGTON WIZARDS,66,49,1250,118,234,25,71,69,85,71,151,76,45,22,58,156,330
bookede01,Devin Booker,SHOOTING GUARD,23,PHOENIX SUNS,70,2512,20.6,0.618,0.31,0.397,1.3,12.0,6.6,30.0,0.9,0.6,14.9,30.0,6.0,1.5,7.5,0.143,3.4,-1.3,2.2,2.6,Falsebookede01,Devin Booker,SHOOTING GUARD,23,PHOENIX SUNS,70,70,2512,627,1283,141,398,468,509,29,268,456,49,18,264,213,1863
bouchch01,Chris Boucher,CENTER,27,TORONTO RAPTORS,62,819,20.7,0.587,0.395,0.388,14.1,21.4,17.9,4.8,1.3,7.3,7.4,19.7,2.1,1.8,3.8,0.224,1.0,1.0,2.0,0.8,Falsebouchch01,Chris Boucher,CENTER,27,TORONTO RAPTORS,62,0,819,141,299,38,118,91,116,107,170,26,22,61,28,114,411
bowenbr02,Brian Bowen,SMALL FORWARD,21,INDIANA PACERS,6,31,0.1,0.3,0.2,0.0,3.6,21.0,12.4,0.0,0.0,2.8,9.1,15.6,-0.1,0.0,-0.1,-0.107,-9.1,-1.6,-10.7,-0.1,Falsebowenbr02,Brian Bowen,SMALL FORWARD,21,INDIANA PACERS,6,1,31,3,10,0,2,0,0,1,6,0,0,1,1,3,6
bowmaky01,Ky Bowman,POINT GUARD,22,GOLDEN STATE WARRIORS,45,1015,9.1,0.494,0.333,0.128,2.5,10.7,6.5,19.4,2.1,0.9,17.1,17.2,-0.6,0.6,-0.1,-0.003,-4.0,-0.3,-4.3,-0.6,Falsebowmaky01,Ky Bowman,POINT GUARD,22,GOLDEN STATE WARRIORS,45,12,1015,134,321,33,107,34,41,24,97,131,44,10,70,102,335
bradlav01,Avery Bradley,SHOOTING GUARD,29,LOS ANGELES LAKERS,49,1186,8.9,0.537,0.452,0.063,1.7,8.9,5.3,7.2,1.7,0.4,10.7,15.7,0.2,1.4,1.5,0.062,-3.0,0.5,-2.5,-0.2,Falsebradlav01,Avery Bradley,SHOOTING GUARD,29,LOS ANGELES LAKERS,49,44,1186,170,383,63,173,20,24,18,97,63,43,5,47,110,423
bradlto01,Tony Bradley,CENTER,22,UTAH JAZZ,58,663,21.7,0.681,0.016,0.243,19.1,25.0,22.2,5.4,1.0,4.1,12.5,15.8,2.2,1.1,3.3,0.236,1.0,0.3,1.3,0.6,Falsebradlto01,Tony Bradley,CENTER,22,UTAH JAZZ,58,3,663,126,189,3,3,30,46,111,156,23,14,33,30,115,285
brantja01,Jarrell Brantley,POWER FORWARD,23,UTAH JAZZ,9,96,8.0,0.416,0.464,0.071,2.4,19.9,11.5,15.8,1.5,4.3,19.5,16.3,-0.2,0.1,0.0,-0.006,-5.3,0.7,-4.6,-0.1,Falsebrantja01,Jarrell Brantley,POWER FORWARD,23,UTAH JAZZ,9,0,96,10,28,3,13,1,2,2,18,11,3,5,7,7,24
brazdig01,Ignas Brazdeikis,SMALL FORWARD,21,NEW YORK KNICKS,9,53,3.2,0.351,0.409,0.227,3.9,6.2,5.0,10.6,0.0,1.8,7.6,21.0,-0.1,0.0,-0.1,-0.108,-5.1,-3.9,-9.0,-0.1,Falsebrazdig01,Ignas Brazdeikis,SMALL FORWARD,21,NEW YORK KNICKS,9,0,53,6,22,1,9,4,5,2,3,4,0,1,2,3,17
breweco01,Corey Brewer,POWER FORWARD,33,SACRAMENTO KINGS,5,33,8.7,0.47,0.25,0.75,6.7,21.0,13.6,7.7,5.9,0.0,27.3,9.6,0.0,0.1,0.0,0.064,-6.9,3.8,-3.1,0.0,Falsebreweco01,Corey Brewer,POWER FORWARD,33,SACRAMENTO KINGS,5,0,33,2,4,0,1,1,3,2,6,2,4,0,2,7,5
bridgmi01,Mikal Bridges,SMALL FORWARD,23,PHOENIX SUNS,73,2042,12.9,0.62,0.401,0.252,3.5,12.4,7.9,8.6,2.4,2.0,12.0,12.7,2.5,2.3,4.8,0.113,-0.6,1.5,0.8,1.5,Falsebridgmi01,Mikal Bridges,SMALL FORWARD,23,PHOENIX SUNS,73,32,2042,247,484,70,194,103,122,66,226,129,102,46,73,163,667
bridgmi02,Miles Bridges,SMALL FORWARD,21,CHARLOTTE HORNETS,65,1995,12.1,0.52,0.398,0.174,4.6,15.6,9.9,9.4,1.0,2.2,10.5,20.0,0.3,1.3,1.6,0.039,-1.5,-1.0,-2.5,-0.3,Falsebridgmi02,Miles Bridges,SMALL FORWARD,21,CHARLOTTE HORNETS,65,64,1995,319,753,99,300,106,131,88,274,114,40,48,95,132,843
brissos01,Oshae Brissett,SMALL FORWARD,21,TORONTO RAPTORS,19,135,6.7,0.458,0.417,0.278,7.2,13.0,10.2,7.0,1.4,0.7,14.8,15.0,-0.1,0.2,0.1,0.043,-5.8,0.4,-5.4,-0.1,Falsebrissos01,Oshae Brissett,SMALL FORWARD,21,TORONTO RAPTORS,19,0,135,13,36,3,15,8,10,9,17,7,4,1,7,18,37
broekry01,Ryan Broekhoff,SMALL FORWARD,29,DALLAS MAVERICKS,17,180,13.1,0.568,0.864,0.136,3.0,21.9,12.5,8.3,1.3,1.9,8.8,16.3,0.2,0.2,0.4,0.109,0.4,0.3,0.7,0.1,Falsebroekry01,Ryan Broekhoff,SMALL FORWARD,29,DALLAS MAVERICKS,17,1,180,22,59,20,51,7,8,5,38,11,5,4,6,15,71
brogdma01,Malcolm Brogdon,POINT GUARD,27,INDIANA PACERS,54,1666,17.7,0.541,0.309,0.25,3.1,14.1,8.6,33.8,1.0,0.5,13.7,25.2,2.3,1.7,4.0,0.114,2.3,-0.5,1.8,1.6,Falsebrogdma01,Malcolm Brogdon,POINT GUARD,27,INDIANA PACERS,54,54,1666,326,744,75,230,166,186,46,216,381,35,10,131,98,893
brookdi01,Dillon Brooks,SHOOTING GUARD,24,MEMPHIS GRIZZLIES,73,2112,11.3,0.51,0.385,0.19,3.5,8.6,6.1,10.5,1.4,1.1,9.7,25.2,-0.4,1.6,1.2,0.027,-2.6,-1.4,-4.1,-1.1,Falsebrookdi01,Dillon Brooks,SHOOTING GUARD,24,MEMPHIS GRIZZLIES,73,73,2112,435,1068,147,411,164,203,68,175,150,63,27,124,278,1181
brownbr01,Bruce Brown,POINT GUARD,23,DETROIT PISTONS,58,1634,11.9,0.518,0.215,0.266,4.2,15.0,9.5,20.4,1.9,1.5,16.7,16.0,0.7,1.4,2.1,0.062,-2.0,0.8,-1.2,0.3,Falsebrownbr01,Bruce Brown,POINT GUARD,23,DETROIT PISTONS,58,43,1634,198,447,33,96,88,119,61,213,230,63,29,100,162,517
brownch02,Charlie Brown,SHOOTING GUARD,22,ATLANTA HAWKS,10,40,11.0,0.472,0.474,0.263,5.3,5.5,5.4,7.3,2.3,4.2,12.4,25.1,0.0,0.0,0.0,-0.028,-1.1,-1.4,-2.5,0.0,Falsebrownch02,Charlie Brown,SHOOTING GUARD,22,ATLANTA HAWKS,10,0,40,6,19,3,9,5,5,2,2,2,2,2,3,3,20
brownja02,Jaylen Brown,SHOOTING GUARD,23,BOSTON CELTICS,57,1934,16.9,0.583,0.381,0.274,3.5,16.5,10.1,9.7,1.6,1.0,11.2,24.7,2.3,2.6,4.9,0.123,1.0,-0.2,0.8,1.4,Falsebrownja02,Jaylen Brown,SHOOTING GUARD,23,BOSTON CELTICS,57,57,1934,427,887,129,338,176,243,62,302,118,65,20,125,167,1159
brownmo01,Moses Brown,CENTER,20,PORTLAND TRAIL BLAZERS,9,33,6.7,0.407,0.0,0.8,9.6,34.5,22.2,4.0,1.4,2.6,18.2,21.2,-0.1,0.0,0.0,-0.065,-8.2,-1.8,-10.0,-0.1,Falsebrownmo01,Moses Brown,CENTER,20,PORTLAND TRAIL BLAZERS,9,0,33,4,10,0,0,3,8,3,11,1,1,1,3,7,11
brownst02,Sterling Brown,SMALL FORWARD,24,MILWAUKEE BUCKS,52,767,9.5,0.486,0.531,0.156,4.3,18.5,11.8,8.6,1.7,0.8,13.3,17.0,-0.4,1.5,1.1,0.07,-3.0,1.0,-2.0,0.0,Falsebrownst02,Sterling Brown,SMALL FORWARD,24,MILWAUKEE BUCKS,52,1,767,95,256,44,136,32,40,31,152,51,29,7,42,54,266
browntr01,Troy Brown Jr.,SMALL FORWARD,20,WASHINGTON WIZARDS,69,1782,13.7,0.524,0.288,0.223,4.5,19.6,11.7,14.1,2.2,0.3,10.4,17.8,1.3,1.2,2.4,0.065,-0.8,-0.4,-1.3,0.3,Falsebrowntr01,Troy Brown Jr.,SMALL FORWARD,20,WASHINGTON WIZARDS,69,22,1782,273,622,61,179,109,139,76,307,178,85,7,79,132,716
brunsja01,Jalen Brunson,POINT GUARD,23,DALLAS MAVERICKS,57,1022,14.9,0.553,0.309,0.193,2.3,11.3,6.9,27.0,1.0,0.3,13.6,20.4,1.6,0.6,2.1,0.101,0.1,-1.0,-0.9,0.3,Falsebrunsja01,Jalen Brunson,POINT GUARD,23,DALLAS MAVERICKS,57,16,1022,181,388,43,120,61,75,22,112,188,22,4,66,74,466
bryanth01,Thomas Bryant,CENTER,22,WASHINGTON WIZARDS,46,1147,21.1,0.649,0.218,0.278,9.0,23.1,15.8,11.1,1.0,3.7,10.2,18.9,3.1,0.8,3.9,0.164,2.9,-0.7,2.2,1.2,Falsebryanth01,Thomas Bryant,CENTER,22,WASHINGTON WIZARDS,46,36,1147,243,418,37,91,86,116,98,233,83,25,49,53,103,609
bullore01,Reggie Bullock,SHOOTING GUARD,28,NEW YORK KNICKS,29,684,9.3,0.502,0.496,0.094,2.0,8.8,5.3,8.8,1.8,0.4,7.5,15.6,0.2,0.3,0.5,0.036,-2.8,-0.3,-3.0,-0.2,Falsebullore01,Reggie Bullock,SHOOTING GUARD,28,NEW YORK KNICKS,29,19,684,90,224,37,111,17,21,13,55,42,25,3,19,56,234
burketr01,Trey Burke,POINT GUARD,27,PHILADELPHIA 76ERS,25,329,15.4,0.545,0.299,0.142,5.0,6.7,5.9,23.9,1.0,0.3,8.2,19.2,0.6,0.2,0.9,0.127,0.7,-1.2,-0.5,0.1,Falseburketr01,Trey Burke,POINT GUARD,27,PHILADELPHIA 76ERS,25,0,329,59,127,16,38,13,18,15,20,53,7,1,12,21,147
burketr01,Trey Burke,POINT GUARD,27,DALLAS MAVERICKS,8,191,16.0,0.553,0.451,0.134,0.6,7.6,4.1,23.2,2.3,0.4,9.4,21.4,0.3,0.2,0.5,0.117,1.0,-0.8,0.2,0.1,Falseburketr01,Trey Burke,POINT GUARD,27,DALLAS MAVERICKS,8,1,191,35,82,16,37,10,11,1,14,30,9,1,9,12,96
burksal01,Alec Burks,SMALL FORWARD,28,GOLDEN STATE WARRIORS,48,1390,16.1,0.552,0.373,0.373,2.8,15.3,8.8,17.4,1.7,1.1,9.8,23.8,1.6,0.9,2.5,0.085,0.7,-0.6,0.1,0.7,Falseburksal01,Alec Burks,SMALL FORWARD,28,GOLDEN STATE WARRIORS,48,18,1390,244,601,84,224,201,224,37,189,151,50,17,76,107,773
burksal01,Alec Burks,SHOOTING GUARD,28,PHILADELPHIA 76ERS,18,364,19.0,0.594,0.461,0.246,3.3,13.7,8.5,16.3,1.6,0.0,7.5,23.7,0.9,0.4,1.2,0.161,3.1,-1.1,2.0,0.4,Falseburksal01,Alec Burks,SHOOTING GUARD,28,PHILADELPHIA 76ERS,18,1,364,77,167,32,77,34,41,11,45,38,12,0,15,21,220
burtode02,Deonte Burton,SMALL FORWARD,26,OKLAHOMA CITY THUNDER,39,356,4.3,0.396,0.424,0.112,2.2,15.1,8.8,6.8,1.0,2.4,12.7,18.5,-0.9,0.4,-0.5,-0.067,-6.3,-0.5,-6.8,-0.4,Falseburtode02,Deonte Burton,SMALL FORWARD,26,OKLAHOMA CITY THUNDER,39,0,356,43,125,10,53,8,14,7,50,17,7,10,19,34,104
butleji01,Jimmy Butler,SMALL FORWARD,30,MIAMI HEAT,58,1959,23.6,0.585,0.157,0.693,6.3,15.4,11.0,28.1,2.6,1.6,11.4,25.1,6.3,2.7,9.0,0.221,4.0,1.5,5.4,3.7,Falsebutleji01,Jimmy Butler,SMALL FORWARD,30,MIAMI HEAT,58,58,1959,345,758,29,119,438,525,106,280,350,103,32,127,81,1157
cabocbr01,Bruno Caboclo,CENTER,24,MEMPHIS GRIZZLIES,22,192,11.9,0.441,0.362,0.043,9.5,14.5,12.1,7.1,2.4,5.5,9.1,16.8,-0.1,0.3,0.2,0.053,-3.4,0.7,-2.7,0.0,Falsecabocbr01,Bruno Caboclo,CENTER,24,MEMPHIS GRIZZLIES,22,0,192,28,69,4,25,2,3,17,27,10,10,12,7,23,62
cabocbr01,Bruno Caboclo,CENTER,24,HOUSTON ROCKETS,8,52,22.1,0.618,0.4,0.3,12.0,20.3,16.1,5.9,4.4,8.2,20.9,22.8,0.0,0.1,0.2,0.162,-1.4,1.6,0.2,0.0,Falsecabocbr01,Bruno Caboclo,CENTER,24,HOUSTON ROCKETS,8,0,52,10,20,2,8,6,6,6,10,2,5,5,6,8,28
cacokde01,Devontae Cacok,CENTER,23,LOS ANGELES LAKERS,1,9,28.6,0.5,0.0,0.0,24.6,36.1,30.4,20.3,0.0,0.0,0.0,28.1,0.0,0.0,0.0,0.226,4.8,-4.6,0.2,0.0,Falsecacokde01,Devontae Cacok,CENTER,23,LOS ANGELES LAKERS,1,0,9,3,6,0,0,0,0,2,3,1,0,0,0,0,6
caldwke01,Kentavious Caldwell-Pope,SHOOTING GUARD,26,LOS ANGELES LAKERS,69,1762,11.0,0.584,0.471,0.201,2.4,6.4,4.4,8.5,1.5,0.7,10.1,14.7,1.9,1.9,3.7,0.102,-1.2,0.4,-0.8,0.5,Falsecaldwke01,Kentavious Caldwell-Pope,SHOOTING GUARD,26,LOS ANGELES LAKERS,69,26,1762,237,507,92,239,79,102,38,104,111,57,14,62,128,645
cancavl01,Vlatko Čančar,POWER FORWARD,22,DENVER NUGGETS,14,45,11.4,0.507,0.4,0.267,12.5,12.4,12.4,9.1,1.1,2.1,15.2,19.1,0.0,0.0,0.1,0.062,-3.4,-1.2,-4.6,0.0,Falsecancavl01,Vlatko Čančar,POWER FORWARD,22,DENVER NUGGETS,14,0,45,6,15,1,6,4,4,5,5,3,1,1,3,7,17
capelca01,Clint Capela,CENTER,25,HOUSTON ROCKETS,39,1279,20.6,0.626,0.0,0.268,13.6,30.5,22.0,5.7,1.2,4.8,12.7,16.1,2.8,2.1,4.9,0.184,1.0,0.4,1.4,1.1,Falsecapelca01,Clint Capela,CENTER,25,HOUSTON ROCKETS,39,39,1279,244,388,0,0,55,104,168,369,48,33,72,63,102,543
carrode01,DeMarre Carroll,SMALL FORWARD,33,SAN ANTONIO SPURS,15,135,4.9,0.437,0.448,0.69,5.6,19.2,12.4,10.1,0.7,1.3,20.9,15.3,-0.2,0.1,-0.1,-0.036,-5.9,-1.1,-7.0,-0.2,Falsecarrode01,DeMarre Carroll,SMALL FORWARD,33,SAN ANTONIO SPURS,15,0,135,9,29,3,13,12,20,7,24,11,2,2,10,20,33
carrode01,DeMarre Carroll,CENTER,33,HOUSTON ROCKETS,9,155,12.8,0.578,0.541,0.595,3.3,13.0,8.1,12.2,1.8,1.7,13.0,14.3,0.2,0.2,0.4,0.114,-0.7,-0.4,-1.1,0.0,Falsecarrode01,DeMarre Carroll,CENTER,33,HOUSTON ROCKETS,9,0,155,16,37,5,20,17,22,5,19,14,6,3,7,12,54
carteje01,Jevon Carter,POINT GUARD,24,PHOENIX SUNS,58,945,11.3,0.563,0.601,0.111,3.5,10.5,6.9,11.9,2.4,1.6,11.2,12.9,0.8,1.0,1.8,0.093,-0.7,1.3,0.6,0.6,Falsecarteje01,Jevon Carter,POINT GUARD,24,PHOENIX SUNS,58,2,945,101,243,62,146,23,27,30,88,84,47,17,32,86,287
cartevi01,Vince Carter,POWER FORWARD,43,ATLANTA HAWKS,60,876,7.5,0.47,0.664,0.095,2.2,13.2,7.6,7.7,1.2,2.4,9.4,16.6,-0.6,0.4,-0.2,-0.011,-3.1,-1.2,-4.3,-0.5,Falsecartevi01,Vince Carter,POWER FORWARD,43,ATLANTA HAWKS,60,0,876,107,304,61,202,23,29,18,106,48,23,25,33,90,298
cartewe01,Wendell Carter Jr.,CENTER,20,CHICAGO BULLS,43,1256,15.5,0.59,0.085,0.443,11.6,24.6,17.8,6.0,1.3,2.7,14.9,16.4,1.7,1.6,3.3,0.127,-2.1,-0.3,-2.4,-0.1,Falsecartewe01,Wendell Carter Jr.,CENTER,20,CHICAGO BULLS,43,43,1256,183,343,6,29,112,152,139,266,51,33,36,72,162,484
cartemi01,Michael Carter-Williams,SHOOTING GUARD,28,ORLANDO MAGIC,45,833,15.3,0.535,0.288,0.365,5.8,13.5,9.5,19.1,2.9,2.4,14.7,18.3,0.7,1.2,1.9,0.111,-1.5,1.6,0.1,0.5,Falsecartemi01,Michael Carter-Williams,SHOOTING GUARD,28,ORLANDO MAGIC,45,0,833,111,260,22,75,79,95,46,101,109,49,22,52,87,323
carusal01,Alex Caruso,POINT GUARD,25,LOS ANGELES LAKERS,64,1175,10.8,0.525,0.412,0.323,1.6,9.8,5.7,13.6,2.8,1.4,13.8,13.8,0.5,1.8,2.3,0.095,-2.6,2.4,-0.2,0.5,Falsecarusal01,Alex Caruso,POINT GUARD,25,LOS ANGELES LAKERS,64,2,1175,120,291,40,120,69,94,17,106,124,70,18,53,98,349
caulewi01,Willie Cauley-Stein,CENTER,26,GOLDEN STATE WARRIORS,41,940,16.2,0.573,0.0,0.222,7.9,22.0,14.7,9.9,2.3,4.8,11.0,14.4,1.0,1.2,2.2,0.113,-1.6,1.6,0.0,0.5,Falsecaulewi01,Willie Cauley-Stein,CENTER,26,GOLDEN STATE WARRIORS,41,37,940,144,257,0,0,35,57,71,184,60,45,50,35,102,323
caulewi01,Willie Cauley-Stein,CENTER,26,DALLAS MAVERICKS,13,157,22.2,0.684,0.022,0.2,8.8,31.0,20.1,9.6,1.2,6.0,9.3,14.7,0.5,0.3,0.7,0.222,0.9,2.2,3.1,0.2,Falsecaulewi01,Willie Cauley-Stein,CENTER,26,DALLAS MAVERICKS,13,2,157,31,45,0,1,5,9,13,47,10,4,11,5,19,67
chandty01,Tyson Chandler,CENTER,37,HOUSTON ROCKETS,26,219,10.8,0.717,0.0,0.722,11.8,19.8,15.8,3.5,1.3,3.1,25.2,6.0,0.3,0.3,0.6,0.131,-2.6,1.1,-1.5,0.0,Falsechandty01,Tyson Chandler,CENTER,37,HOUSTON ROCKETS,26,5,219,14,18,0,0,6,13,25,41,6,6,8,8,32,34
chandwi01,Wilson Chandler,POWER FORWARD,32,BROOKLYN NETS,35,734,7.4,0.531,0.661,0.126,1.6,18.5,10.2,7.3,1.0,1.4,15.0,12.9,-0.1,0.9,0.7,0.046,-3.8,1.0,-2.7,-0.1,Falsechandwi01,Wilson Chandler,POWER FORWARD,32,BROOKLYN NETS,35,3,734,74,183,37,121,20,23,11,134,39,16,12,34,79,205
chealjo01,Joe Chealey,POINT GUARD,24,CHARLOTTE HORNETS,4,33,-2.9,0.127,0.571,0.286,0.0,0.0,0.0,3.9,6.1,0.0,20.2,13.2,-0.2,0.0,-0.1,-0.188,-14.3,1.7,-12.5,-0.1,Falsechealjo01,Joe Chealey,POINT GUARD,24,CHARLOTTE HORNETS,4,0,33,0,7,0,4,2,2,0,0,1,4,0,2,2,2
cheatzy01,Zylan Cheatham,POWER FORWARD,24,NEW ORLEANS PELICANS,4,51,6.7,0.667,0.111,0.0,6.2,12.5,9.4,7.7,0.9,1.6,30.8,10.4,0.0,0.0,0.0,0.034,-6.5,-0.6,-7.1,-0.1,Falsecheatzy01,Zylan Cheatham,POWER FORWARD,24,NEW ORLEANS PELICANS,4,0,51,6,9,0,1,0,0,3,6,3,1,1,4,10,12
chiozch01,Chris Chiozza,POINT GUARD,24,WASHINGTON WIZARDS,10,123,9.2,0.397,0.471,0.0,0.0,13.9,6.7,29.2,3.8,1.4,20.9,14.5,-0.1,0.1,0.0,-0.001,-3.6,2.2,-1.5,0.0,Falsechiozch01,Chris Chiozza,POINT GUARD,24,WASHINGTON WIZARDS,10,0,123,10,34,7,16,0,0,0,15,28,10,2,9,12,27
chiozch01,Chris Chiozza,POINT GUARD,24,BROOKLYN NETS,18,278,13.2,0.531,0.528,0.047,3.4,10.6,7.1,29.5,1.9,0.6,17.5,19.7,0.2,0.3,0.5,0.08,-0.8,-0.3,-1.1,0.1,Falsechiozch01,Chris Chiozza,POINT GUARD,24,BROOKLYN NETS,18,2,278,45,106,20,56,5,5,9,29,55,11,2,23,25,115
chrisma01,Marquese Chriss,POWER FORWARD,22,GOLDEN STATE WARRIORS,59,1196,19.5,0.604,0.101,0.405,10.0,23.6,16.5,15.3,1.6,4.7,14.7,19.0,2.1,1.3,3.4,0.136,0.0,0.6,0.6,0.8,Falsechrisma01,Marquese Chriss,POWER FORWARD,22,GOLDEN STATE WARRIORS,59,21,1196,210,385,8,39,120,156,114,251,114,39,62,78,122,548
clarkga01,Gary Clark,POWER FORWARD,25,HOUSTON ROCKETS,18,212,11.8,0.564,0.864,0.119,5.4,14.5,9.9,7.7,0.4,2.8,3.1,12.5,0.4,0.2,0.5,0.123,0.3,-0.9,-0.6,0.1,Falseclarkga01,Gary Clark,POWER FORWARD,25,HOUSTON ROCKETS,18,0,212,23,59,18,51,6,7,11,29,12,2,7,2,21,70
clarkga01,Gary Clark,SMALL FORWARD,25,ORLANDO MAGIC,24,355,10.1,0.571,0.811,0.041,7.6,13.8,10.6,1.9,0.5,3.8,9.6,10.1,0.3,0.3,0.6,0.087,-1.7,-1.0,-2.7,-0.1,Falseclarkga01,Gary Clark,SMALL FORWARD,25,ORLANDO MAGIC,24,5,355,31,74,21,60,3,3,26,44,5,4,15,8,25,86
clarkbr01,Brandon Clarke,POWER FORWARD,23,MEMPHIS GRIZZLIES,58,1300,20.9,0.663,0.134,0.234,7.6,20.1,14.0,9.5,1.1,3.2,9.4,18.7,3.4,1.6,5.0,0.183,2.4,0.7,3.1,1.7,Falseclarkbr01,Brandon Clarke,POWER FORWARD,23,MEMPHIS GRIZZLIES,58,4,1300,296,479,23,64,85,112,92,253,81,32,48,55,100,700
clarkjo01,Jordan Clarkson,SHOOTING GUARD,27,CLEVELAND CAVALIERS,29,666,18.6,0.581,0.488,0.264,3.5,8.1,5.8,17.0,1.2,1.0,9.7,25.9,1.4,0.1,1.5,0.107,4.1,-1.4,2.7,0.8,Falseclarkjo01,Jordan Clarkson,SHOOTING GUARD,27,CLEVELAND CAVALIERS,29,0,666,144,326,59,159,76,86,21,48,70,17,8,39,33,423
clarkjo01,Jordan Clarkson,SHOOTING GUARD,27,UTAH JAZZ,42,1039,16.5,0.569,0.47,0.146,3.2,9.1,6.3,10.8,1.4,0.6,9.2,26.7,1.0,0.9,1.9,0.089,1.3,-1.2,0.1,0.5,Falseclarkjo01,Jordan Clarkson,SHOOTING GUARD,27,UTAH JAZZ,42,2,1039,250,541,93,254,62,79,29,89,66,29,8,58,75,655
claxtni01,Nicolas Claxton,CENTER,20,BROOKLYN NETS,15,187,14.8,0.577,0.146,0.438,10.7,13.6,12.2,12.4,0.3,3.6,13.6,14.8,0.3,0.2,0.5,0.121,-0.7,0.0,-0.6,0.1,Falseclaxtni01,Nicolas Claxton,CENTER,20,BROOKLYN NETS,15,0,187,27,48,1,7,11,21,19,25,16,1,8,9,14,66
clemoch01,Chris Clemons,SHOOTING GUARD,22,HOUSTON ROCKETS,33,291,13.1,0.548,0.754,0.077,1.4,9.4,5.4,14.3,1.4,1.8,11.5,23.6,0.1,0.2,0.4,0.058,0.3,-1.3,-1.0,0.1,Falseclemoch01,Chris Clemons,SHOOTING GUARD,22,HOUSTON ROCKETS,33,0,291,57,142,37,107,10,11,4,26,27,9,6,19,26,161
clevean01,Antonius Cleveland,SHOOTING GUARD,25,DALLAS MAVERICKS,11,46,2.5,0.34,0.214,0.357,4.6,11.3,8.0,2.8,1.1,5.6,11.0,16.9,-0.1,0.0,-0.1,-0.076,-9.0,-1.0,-10.1,-0.1,Falseclevean01,Antonius Cleveland,SHOOTING GUARD,25,DALLAS MAVERICKS,11,0,46,4,14,0,3,3,5,2,5,1,1,3,2,8,11
coffeam01,Amir Coffey,SHOOTING GUARD,22,LOS ANGELES CLIPPERS,18,159,8.5,0.493,0.352,0.204,2.7,7.6,5.2,12.3,1.5,1.1,12.0,17.6,0.0,0.2,0.1,0.041,-4.2,0.1,-4.1,-0.1,Falsecoffeam01,Amir Coffey,SHOOTING GUARD,22,LOS ANGELES CLIPPERS,18,1,159,23,54,6,19,6,11,4,12,14,5,2,8,20,58
collijo01,John Collins,POWER FORWARD,22,ATLANTA HAWKS,41,1363,23.5,0.659,0.243,0.248,9.0,24.0,16.4,7.6,1.1,4.1,10.1,22.7,3.8,1.2,4.9,0.174,3.7,-0.6,3.1,1.7,Falsecollijo01,John Collins,POWER FORWARD,22,ATLANTA HAWKS,41,41,1363,353,605,59,147,120,150,116,300,60,31,66,75,138,885
colliza01,Zach Collins,POWER FORWARD,22,PORTLAND TRAIL BLAZERS,11,290,9.9,0.538,0.279,0.118,9.1,15.7,12.4,7.2,0.8,1.5,16.4,12.5,0.2,0.1,0.3,0.052,-1.7,-1.4,-3.1,-0.1,Falsecolliza01,Zach Collins,POWER FORWARD,22,PORTLAND TRAIL BLAZERS,11,11,290,32,68,7,19,6,8,25,44,16,5,5,14,36,77
conlemi01,Mike Conley,POINT GUARD,32,UTAH JAZZ,47,1363,14.1,0.537,0.451,0.245,2.8,9.2,6.1,23.1,1.3,0.3,12.8,23.1,1.4,1.1,2.5,0.089,0.7,-0.4,0.3,0.8,Falseconlemi01,Mike Conley,POINT GUARD,32,UTAH JAZZ,47,41,1363,232,567,96,256,115,139,33,118,208,36,5,92,104,675
connapa01,Pat Connaughton,SHOOTING GUARD,27,MILWAUKEE BUCKS,67,1243,11.5,0.565,0.551,0.133,5.1,16.8,11.3,10.9,0.9,2.2,14.0,12.3,1.1,2.3,3.4,0.13,-0.9,1.5,0.6,0.8,Falseconnapa01,Pat Connaughton,SHOOTING GUARD,27,MILWAUKEE BUCKS,67,4,1243,137,301,55,166,31,40,60,224,107,25,31,52,70,360
cookqu01,Quinn Cook,POINT GUARD,26,LOS ANGELES LAKERS,44,508,10.0,0.509,0.397,0.065,2.4,8.5,5.5,13.8,1.1,0.4,13.0,21.0,-0.2,0.5,0.3,0.03,-2.3,-1.4,-3.8,-0.2,Falsecookqu01,Quinn Cook,POINT GUARD,26,LOS ANGELES LAKERS,44,1,508,91,214,31,85,11,14,11,40,49,12,2,33,27,224
