slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_playerslug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
anderky01,Kyle Anderson,SMALL FORWARD,25,MEMPHIS GRIZZLIES,43,1281,12.8,0.569,0.123,0.232,4.1,18.1,11.0,15.0,2.1,2.7,16.0,12.6,0.8,1.8,2.7,0.1,-2.1,3.3,1.2,1.0anderky01,Kyle Anderson,SMALL FORWARD,25,MEMPHIS GRIZZLIES,43,40,1281,150,276,9,34,37,64,48,203,128,54,37,58,112
anderry01,Ryan Anderson,POWER FORWARD,30,PHOENIX SUNS,15,278,4.6,0.423,0.567,0.233,5.5,12.5,9.0,8.1,0.5,0.3,15.4,12.1,-0.2,0.0,-0.2,-0.039,-4.4,-2.1,-6.5,-0.3anderry01,Ryan Anderson,POWER FORWARD,30,PHOENIX SUNS,15,8,278,19,60,7,34,11,14,14,31,17,3,1,12,23
anderry01,Ryan Anderson,POWER FORWARD,30,MIAMI HEAT,10,44,4.5,0.354,0.667,0.222,9.7,12.1,10.9,5.8,1.1,0.0,16.8,11.6,0.0,0.0,0.0,-0.009,-4.9,-0.8,-5.8,0.0anderry01,Ryan Anderson,POWER FORWARD,30,MIAMI HEAT,10,0,44,2,9,2,6,1,2,4,5,2,1,0,2,2
anigbik01,Ike Anigbogu,CENTER,20,INDIANA PACERS,3,6,-6.0,0.0,0.0,0.0,18.9,36.2,27.7,19.4,0.0,14.8,25.0,29.1,-0.1,0.0,-0.1,-0.48,-22.5,8.5,-14.0,0.0anigbik01,Ike Anigbogu,CENTER,20,INDIANA PACERS,3,0,6,0,3,0,0,0,0,1,2,1,0,1,1,0
antetgi01,Giannis Antetokounmpo,POWER FORWARD,24,MILWAUKEE BUCKS,72,2358,30.9,0.644,0.163,0.55,7.3,30.0,19.3,30.3,1.8,3.9,14.8,32.3,8.9,5.5,14.4,0.292,5.7,5.0,10.8,7.6antetgi01,Giannis Antetokounmpo,POWER FORWARD,24,MILWAUKEE BUCKS,72,72,2358,721,1247,52,203,500,686,159,739,424,92,110,268,232
antetko01,Kostas Antetokounmpo,POWER FORWARD,21,DALLAS MAVERICKS,2,11,-0.9,0.21,0.0,1.333,0.0,9.7,4.9,0.0,8.8,0.0,17.4,22.5,-0.1,0.0,-0.1,-0.247,-15.9,2.7,-13.3,0.0antetko01,Kostas Antetokounmpo,POWER FORWARD,21,DALLAS MAVERICKS,2,0,11,0,3,0,0,2,4,0,1,0,2,0,1,0
anthoca01,Carmelo Anthony,POWER FORWARD,34,HOUSTON ROCKETS,10,294,10.9,0.513,0.529,0.182,3.3,17.3,10.2,2.6,0.7,2.0,5.8,20.5,0.1,0.2,0.3,0.048,-3.1,-2.8,-5.9,-0.3anthoca01,Carmelo Anthony,POWER FORWARD,34,HOUSTON ROCKETS,10,2,294,49,121,21,64,15,22,9,45,5,4,7,8,32
anunoog01,OG Anunoby,SMALL FORWARD,21,TORONTO RAPTORS,67,1352,9.8,0.544,0.5,0.153,4.8,10.8,7.9,4.7,1.6,1.3,11.3,15.5,0.3,1.7,2.0,0.07,-1.3,0.1,-1.2,0.3anunoog01,OG Anunoby,SMALL FORWARD,21,TORONTO RAPTORS,67,6,1352,183,404,67,202,36,62,58,139,47,46,22,55,140
arcidry01,Ryan Arcidiacono,POINT GUARD,24,CHICAGO BULLS,81,1961,11.6,0.588,0.519,0.244,1.5,10.8,6.1,18.9,1.6,0.2,12.0,11.7,2.8,0.9,3.7,0.09,-0.1,-1.0,-1.0,0.5arcidry01,Ryan Arcidiacono,POINT GUARD,24,CHICAGO BULLS,81,32,1961,187,418,81,217,89,102,27,192,269,65,4,63,171
arizatr01,Trevor Ariza,SMALL FORWARD,33,PHOENIX SUNS,26,884,10.5,0.525,0.612,0.189,2.0,16.4,9.1,13.5,2.1,0.8,13.7,13.8,0.2,0.5,0.6,0.035,-1.2,0.2,-1.0,0.2arizatr01,Trevor Ariza,SMALL FORWARD,33,PHOENIX SUNS,26,26,884,86,227,50,139,36,43,16,129,87,38,8,39,44
