slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_playerslug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
bledser01,Eric Bledsoe,POINT GUARD,29,MILWAUKEE BUCKS,78,2272,19.3,0.577,0.388,0.243,3.9,11.8,8.1,27.4,2.4,1.1,13.3,22.9,4.4,3.7,8.2,0.173,2.5,1.0,3.5,3.2bledser01,Eric Bledsoe,POINT GUARD,29,MILWAUKEE BUCKS,78,78,2272,470,971,124,377,177,236,82,280,430,116,29,165,156
blossja01,Jaron Blossomgame,SMALL FORWARD,25,CLEVELAND CAVALIERS,27,439,10.2,0.51,0.368,0.123,6.3,19.1,12.4,4.2,0.8,1.6,9.0,12.2,0.2,0.1,0.3,0.03,-3.1,-1.5,-4.5,-0.3blossja01,Jaron Blossomgame,SMALL FORWARD,25,CLEVELAND CAVALIERS,27,4,439,47,106,10,39,10,13,26,72,13,7,8,11,20
bogdabo01,Bogdan Bogdanović,SHOOTING GUARD,26,SACRAMENTO KINGS,70,1947,14.1,0.53,0.431,0.188,2.1,11.0,6.4,19.3,1.7,0.7,11.1,22.3,1.3,1.4,2.7,0.067,0.5,-1.2,-0.7,0.6bogdabo01,Bogdan Bogdanović,SHOOTING GUARD,26,SACRAMENTO KINGS,70,17,1947,361,863,134,372,134,162,40,203,267,72,15,117,142
bogdabo02,Bojan Bogdanović,SMALL FORWARD,29,INDIANA PACERS,81,2573,16.1,0.613,0.367,0.29,1.5,12.7,7.2,9.5,1.3,0.0,10.2,22.4,3.9,2.8,6.8,0.126,1.4,-1.4,0.0,1.3bogdabo02,Bojan Bogdanović,SMALL FORWARD,29,INDIANA PACERS,81,81,2573,522,1051,164,386,246,305,33,300,161,69,1,134,138
bogutan01,Andrew Bogut,CENTER,34,GOLDEN STATE WARRIORS,11,134,13.4,0.523,0.0,0.083,10.0,32.8,21.9,10.6,1.1,5.0,17.7,14.5,0.1,0.2,0.3,0.111,-4.3,3.1,-1.3,0.0bogutan01,Andrew Bogut,CENTER,34,GOLDEN STATE WARRIORS,11,5,134,18,36,0,0,3,3,12,43,11,3,8,8,22
boldejo01,Jonah Bolden,POWER FORWARD,23,PHILADELPHIA 76ERS,44,639,12.7,0.595,0.593,0.167,8.0,19.0,13.7,8.5,1.3,4.8,17.2,13.8,0.5,0.9,1.4,0.106,-0.8,2.0,1.2,0.5boldejo01,Jonah Bolden,POWER FORWARD,23,PHILADELPHIA 76ERS,44,10,639,80,162,34,96,13,27,47,118,40,17,39,36,99
bongais01,Isaac Bonga,POINT GUARD,19,LOS ANGELES LAKERS,22,120,6.0,0.24,0.242,0.455,7.9,13.5,10.8,14.9,3.5,2.7,13.2,15.7,-0.3,0.2,-0.1,-0.059,-7.3,3.0,-4.3,-0.1bongais01,Isaac Bonga,POINT GUARD,19,LOS ANGELES LAKERS,22,0,120,5,33,0,8,9,15,9,16,15,9,4,6,9
bookede01,Devin Booker,SHOOTING GUARD,22,PHOENIX SUNS,64,2242,20.2,0.584,0.33,0.362,1.9,11.3,6.5,34.1,1.2,0.5,15.4,32.9,3.3,0.3,3.5,0.076,3.8,-3.0,0.8,1.6bookede01,Devin Booker,SHOOTING GUARD,22,PHOENIX SUNS,64,64,2242,586,1255,135,414,393,454,39,226,433,56,13,264,200
bouchch01,Chris Boucher,POWER FORWARD,26,TORONTO RAPTORS,28,163,22.2,0.563,0.487,0.197,10.9,25.8,18.5,1.9,1.8,12.2,7.8,23.6,0.2,0.4,0.7,0.194,-1.7,2.8,1.1,0.1bouchch01,Chris Boucher,POWER FORWARD,26,TORONTO RAPTORS,28,0,163,34,76,12,37,13,15,16,40,2,6,24,7,31
bradlav01,Avery Bradley,SHOOTING GUARD,28,LOS ANGELES CLIPPERS,49,1463,5.5,0.464,0.41,0.06,2.6,6.7,4.7,8.8,0.9,0.9,12.4,14.2,-1.0,0.6,-0.3,-0.011,-2.4,-0.7,-3.1,-0.4bradlav01,Avery Bradley,SHOOTING GUARD,28,LOS ANGELES CLIPPERS,49,49,1463,161,420,58,172,20,25,35,96,96,27,16,61,133
bradlav01,Avery Bradley,SHOOTING GUARD,28,MEMPHIS GRIZZLIES,14,442,14.5,0.565,0.388,0.133,2.0,9.3,5.6,21.6,1.6,0.0,12.3,22.9,0.3,0.4,0.7,0.074,0.6,-2.1,-1.5,0.1bradlav01,Avery Bradley,SHOOTING GUARD,28,MEMPHIS GRIZZLIES,14,14,442,87,188,28,73,23,25,8,36,56,14,0,28,34
bradlto01,Tony Bradley,CENTER,21,UTAH JAZZ,3,36,19.6,0.504,0.0,0.125,27.6,17.7,22.6,4.5,2.7,4.4,15.1,23.6,0.0,0.1,0.1,0.13,-2.0,1.3,-0.7,0.0bradlto01,Tony Bradley,CENTER,21,UTAH JAZZ,3,0,36,8,16,0,0,1,2,9,6,1,2,2,3,6
breweco01,Corey Brewer,SMALL FORWARD,32,PHILADELPHIA 76ERS,7,140,10.8,0.484,0.286,0.265,3.1,9.6,6.4,10.0,4.0,1.1,12.8,18.8,-0.1,0.2,0.1,0.044,-3.2,0.8,-2.4,0.0breweco01,Corey Brewer,SMALL FORWARD,32,PHILADELPHIA 76ERS,7,3,140,20,49,4,14,9,13,4,13,10,12,2,8,16
breweco01,Corey Brewer,SMALL FORWARD,32,SACRAMENTO KINGS,24,352,12.0,0.562,0.405,0.405,6.3,11.1,8.6,10.3,2.6,1.2,11.2,11.5,0.5,0.4,0.8,0.115,-0.3,1.1,0.9,0.3breweco01,Corey Brewer,SMALL FORWARD,32,SACRAMENTO KINGS,24,0,352,33,74,10,30,22,30,22,37,29,20,5,11,47
bridgmi01,Mikal Bridges,SMALL FORWARD,22,PHOENIX SUNS,82,2417,10.8,0.556,0.556,0.21,2.5,9.7,6.0,9.8,2.5,1.3,10.2,12.2,1.7,1.2,2.9,0.058,-0.5,0.3,-0.2,1.1bridgmi01,Mikal Bridges,SMALL FORWARD,22,PHOENIX SUNS,82,56,2417,242,563,105,313,95,118,56,208,173,129,38,70,201
bridgmi02,Miles Bridges,SMALL FORWARD,20,CHARLOTTE HORNETS,80,1696,13.1,0.548,0.391,0.151,4.2,16.6,10.3,8.1,1.6,2.5,8.4,15.1,1.4,1.5,2.9,0.083,-1.2,0.5,-0.6,0.6bridgmi02,Miles Bridges,SMALL FORWARD,20,CHARLOTTE HORNETS,80,25,1696,237,511,65,200,58,77,67,256,95,55,49,50,111
briscis01,Isaiah Briscoe,POINT GUARD,22,ORLANDO MAGIC,39,559,6.7,0.455,0.246,0.188,0.9,13.4,7.1,21.0,1.0,0.3,17.2,14.1,-0.3,0.5,0.3,0.023,-5.0,-0.6,-5.6,-0.5briscis01,Isaiah Briscoe,POINT GUARD,22,ORLANDO MAGIC,39,0,559,55,138,11,34,15,26,5,69,87,11,2,31,66
broekry01,Ryan Broekhoff,SHOOTING GUARD,28,DALLAS MAVERICKS,42,453,10.7,0.621,0.738,0.151,1.9,12.9,7.4,7.2,0.6,0.8,10.6,14.3,0.5,0.3,0.8,0.086,-0.7,-1.7,-2.3,0.0broekry01,Ryan Broekhoff,SHOOTING GUARD,28,DALLAS MAVERICKS,42,0,453,57,126,38,93,15,19,8,55,22,6,4,16,35
brogdma01,Malcolm Brogdon,SHOOTING GUARD,26,MILWAUKEE BUCKS,64,1832,17.8,0.614,0.326,0.203,3.8,11.7,8.0,16.2,1.2,0.6,10.0,20.7,4.2,2.3,6.5,0.171,1.9,-0.3,1.5,1.6brogdma01,Malcolm Brogdon,SHOOTING GUARD,26,MILWAUKEE BUCKS,64,64,1832,378,748,104,244,141,152,65,223,205,46,13,91,102
brookdi01,Dillon Brooks,SMALL FORWARD,23,MEMPHIS GRIZZLIES,18,330,7.6,0.499,0.328,0.246,3.0,7.6,5.3,7.6,1.5,1.1,12.3,20.9,-0.3,0.3,0.0,-0.004,-4.2,-1.9,-6.1,-0.3brookdi01,Dillon Brooks,SMALL FORWARD,23,MEMPHIS GRIZZLIES,18,0,330,49,122,15,40,22,30,9,22,16,10,4,19,50
brookma01,MarShon Brooks,SHOOTING GUARD,30,MEMPHIS GRIZZLIES,29,387,11.6,0.518,0.32,0.195,3.4,9.7,6.5,11.0,1.2,1.0,10.3,23.6,-0.2,0.3,0.1,0.018,-2.9,-2.6,-5.6,-0.3brookma01,MarShon Brooks,SHOOTING GUARD,30,MEMPHIS GRIZZLIES,29,0,387,76,169,15,54,23,33,12,33,25,9,4,21,33
brownbr01,Bruce Brown,SHOOTING GUARD,22,DETROIT PISTONS,74,1449,6.9,0.469,0.296,0.191,3.5,10.7,7.0,8.8,1.4,2.1,11.9,11.5,-0.1,1.6,1.5,0.048,-3.7,1.7,-2.0,0.0brownbr01,Bruce Brown,SHOOTING GUARD,22,DETROIT PISTONS,74,56,1449,125,314,24,93,45,60,48,137,91,40,36,46,178
brownja02,Jaylen Brown,SHOOTING GUARD,22,BOSTON CELTICS,74,1913,13.5,0.547,0.348,0.255,3.6,13.9,8.7,7.7,1.7,1.5,10.1,22.1,0.7,2.4,3.0,0.076,-1.5,-0.6,-2.1,0.0brownja02,Jaylen Brown,SHOOTING GUARD,22,BOSTON CELTICS,74,25,1913,368,792,95,276,133,202,65,248,100,69,32,99,186
brownlo01,Lorenzo Brown,POINT GUARD,28,TORONTO RAPTORS,26,212,6.3,0.38,0.394,0.042,2.6,12.9,7.9,17.3,2.7,2.0,18.1,17.9,-0.5,0.3,-0.1,-0.027,-5.8,1.5,-4.3,-0.1brownlo01,Lorenzo Brown,POINT GUARD,28,TORONTO RAPTORS,26,0,212,23,71,6,28,3,3,5,26,28,12,5,16,22
brownst02,Sterling Brown,SHOOTING GUARD,23,MILWAUKEE BUCKS,58,1034,10.9,0.563,0.471,0.135,3.0,14.4,9.0,10.7,1.1,0.7,12.2,15.2,0.7,1.4,2.1,0.098,-1.6,0.0,-1.6,0.1brownst02,Sterling Brown,SHOOTING GUARD,23,MILWAUKEE BUCKS,58,7,1034,145,312,53,147,29,42,29,155,84,25,8,46,88
browntr01,Troy Brown,SMALL FORWARD,19,WASHINGTON WIZARDS,52,730,11.1,0.487,0.295,0.201,5.1,16.6,10.8,14.9,1.4,0.6,10.5,16.5,0.2,0.4,0.6,0.039,-2.6,-1.2,-3.7,-0.3browntr01,Troy Brown,SMALL FORWARD,19,WASHINGTON WIZARDS,52,10,730,97,234,22,69,32,47,35,110,80,21,5,30,56
brunsja01,Jalen Brunson,POINT GUARD,22,DALLAS MAVERICKS,73,1591,12.8,0.549,0.32,0.212,1.7,9.6,5.7,22.6,1.1,0.2,12.5,19.1,1.5,1.0,2.6,0.077,-0.8,-1.6,-2.5,-0.2brunsja01,Jalen Brunson,POINT GUARD,22,DALLAS MAVERICKS,73,38,1591,264,565,63,181,87,120,25,144,230,37,4,88,127
bryanth01,Thomas Bryant,CENTER,21,WASHINGTON WIZARDS,72,1496,21.0,0.674,0.197,0.273,8.1,25.1,16.5,9.3,0.8,3.8,9.6,17.6,4.3,1.3,5.6,0.178,1.2,0.4,1.6,1.3bryanth01,Thomas Bryant,CENTER,21,WASHINGTON WIZARDS,72,53,1496,309,502,33,99,107,137,113,341,92,25,67,60,126
bullore01,Reggie Bullock,SHOOTING GUARD,27,DETROIT PISTONS,44,1355,11.0,0.569,0.667,0.145,1.6,8.6,5.0,12.0,0.9,0.3,10.3,16.7,1.4,1.0,2.4,0.084,0.7,-1.2,-0.5,0.5bullore01,Reggie Bullock,SHOOTING GUARD,27,DETROIT PISTONS,44,44,1355,182,441,114,294,56,64,20,103,109,24,5,54,79
bullore01,Reggie Bullock,SHOOTING GUARD,27,LOS ANGELES LAKERS,19,524,9.1,0.545,0.647,0.137,0.4,9.3,4.9,5.0,1.4,1.1,6.3,13.7,0.2,0.4,0.7,0.061,-1.3,-0.5,-1.8,0.0bullore01,Reggie Bullock,SHOOTING GUARD,27,LOS ANGELES LAKERS,19,16,524,63,153,34,99,17,21,2,48,20,16,7,11,30
burketr01,Trey Burke,POINT GUARD,26,NEW YORK KNICKS,33,689,15.6,0.496,0.24,0.209,2.2,7.3,4.7,23.6,1.5,0.6,6.9,26.1,0.4,0.2,0.6,0.044,-0.2,-3.3,-3.5,-0.3burketr01,Trey Burke,POINT GUARD,26,NEW YORK KNICKS,33,7,689,148,358,30,86,62,75,15,47,94,21,5,29,33
burketr01,Trey Burke,POINT GUARD,26,DALLAS MAVERICKS,25,436,17.9,0.574,0.384,0.258,3.2,5.9,4.5,24.7,1.3,0.4,8.6,22.8,1.0,0.3,1.3,0.14,2.1,-3.0,-0.9,0.1burketr01,Trey Burke,POINT GUARD,26,DALLAS MAVERICKS,25,1,436,88,190,26,73,41,49,13,24,65,12,2,20,25
burksal01,Alec Burks,SHOOTING GUARD,27,UTAH JAZZ,17,269,12.4,0.547,0.377,0.333,0.8,9.9,5.4,11.2,1.1,1.2,10.3,23.2,0.2,0.3,0.5,0.084,-2.2,-1.6,-3.7,-0.1burksal01,Alec Burks,SHOOTING GUARD,27,UTAH JAZZ,17,0,269,47,114,16,43,33,38,2,25,20,6,4,15,22
burksal01,Alec Burks,SHOOTING GUARD,27,CLEVELAND CAVALIERS,34,979,13.2,0.517,0.35,0.288,2.8,19.0,10.6,15.0,1.3,1.4,10.7,19.2,0.6,0.3,0.9,0.042,-1.1,-0.7,-1.8,0.1burksal01,Alec Burks,SHOOTING GUARD,27,CLEVELAND CAVALIERS,34,24,979,136,340,45,119,79,98,26,160,98,25,16,46,62
burksal01,Alec Burks,SHOOTING GUARD,27,SACRAMENTO KINGS,13,127,9.0,0.495,0.3,0.25,1.6,16.6,8.9,9.5,2.9,0.7,15.3,8.5,0.0,0.2,0.2,0.062,-3.8,1.9,-1.9,0.0burksal01,Alec Burks,SHOOTING GUARD,27,SACRAMENTO KINGS,13,0,127,9,20,0,6,4,5,2,20,10,8,1,4,7
burtode02,Deonte Burton,SHOOTING GUARD,25,OKLAHOMA CITY THUNDER,32,240,7.0,0.47,0.329,0.146,1.7,10.7,6.0,5.0,1.2,2.8,9.3,16.3,-0.2,0.3,0.1,0.027,-5.6,-0.6,-6.3,-0.3burtode02,Deonte Burton,SHOOTING GUARD,25,OKLAHOMA CITY THUNDER,32,0,240,33,82,8,27,8,12,4,24,9,6,8,9,31
butleji01,Jimmy Butler,SHOOTING GUARD,29,MINNESOTA TIMBERWOLVES,10,361,22.3,0.579,0.287,0.389,4.7,10.8,7.7,18.2,3.2,2.4,7.1,23.0,1.0,0.4,1.3,0.176,3.7,0.9,4.6,0.6butleji01,Jimmy Butler,SHOOTING GUARD,29,MINNESOTA TIMBERWOLVES,10,10,361,74,157,17,45,48,61,16,36,43,24,10,14,18
butleji01,Jimmy Butler,SMALL FORWARD,29,PHILADELPHIA 76ERS,55,1824,19.8,0.569,0.198,0.407,6.3,10.4,8.4,18.0,2.6,1.2,8.4,22.1,4.4,2.1,6.6,0.172,2.4,0.5,2.9,2.3butleji01,Jimmy Butler,SMALL FORWARD,29,PHILADELPHIA 76ERS,55,55,1824,344,747,50,148,264,304,105,185,220,99,29,81,93
cabocbr01,Bruno Caboclo,SMALL FORWARD,23,MEMPHIS GRIZZLIES,34,800,12.4,0.571,0.578,0.222,5.8,16.5,11.1,9.4,0.9,3.9,13.3,15.9,0.6,0.9,1.5,0.09,-1.0,1.2,0.2,0.4cabocbr01,Bruno Caboclo,SMALL FORWARD,23,MEMPHIS GRIZZLIES,34,19,800,96,225,48,130,42,50,42,116,50,14,33,38,81
caldejo01,José Calderón,POINT GUARD,37,DETROIT PISTONS,49,632,7.1,0.453,0.475,0.092,1.8,8.8,5.2,24.9,1.2,0.4,21.9,10.9,0.0,0.5,0.6,0.043,-4.0,-1.2,-5.1,-0.5caldejo01,José Calderón,POINT GUARD,37,DETROIT PISTONS,49,0,632,45,120,14,57,9,11,11,49,115,16,3,35,64
caldwke01,Kentavious Caldwell-Pope,SHOOTING GUARD,25,LOS ANGELES LAKERS,82,2035,12.9,0.568,0.575,0.209,2.5,9.4,6.0,7.5,1.7,0.5,7.3,18.1,2.3,1.8,4.0,0.095,0.6,-1.2,-0.6,0.7caldwke01,Kentavious Caldwell-Pope,SHOOTING GUARD,25,LOS ANGELES LAKERS,82,23,2035,325,756,151,435,137,158,48,190,110,73,13,65,137
canaais01,Isaiah Canaan,POINT GUARD,27,PHOENIX SUNS,19,503,7.3,0.515,0.558,0.155,1.1,9.8,5.4,17.0,1.1,0.0,17.4,14.2,-0.1,0.0,-0.1,-0.007,-2.7,-2.5,-5.2,-0.4canaais01,Isaiah Canaan,POINT GUARD,27,PHOENIX SUNS,19,15,503,51,129,25,72,15,20,5,44,62,12,0,29,46
canaais01,Isaiah Canaan,POINT GUARD,27,MINNESOTA TIMBERWOLVES,7,95,12.3,0.536,0.655,0.138,0.0,5.7,2.8,26.9,1.0,0.9,11.5,15.4,0.1,0.0,0.2,0.079,-0.4,-4.6,-5.0,-0.1canaais01,Isaiah Canaan,POINT GUARD,27,MINNESOTA TIMBERWOLVES,7,1,95,11,29,7,19,4,4,0,5,19,2,1,4,4
canaais01,Isaiah Canaan,POINT GUARD,27,MILWAUKEE BUCKS,4,31,5.2,0.5,0.833,0.0,3.5,9.3,6.6,11.6,0.0,2.7,25.0,10.8,0.0,0.0,0.0,0.03,-4.2,-0.1,-4.3,0.0canaais01,Isaiah Canaan,POINT GUARD,27,MILWAUKEE BUCKS,4,0,31,2,6,2,5,0,0,1,3,3,0,1,2,2
capelca01,Clint Capela,CENTER,24,HOUSTON ROCKETS,67,2249,23.8,0.658,0.0,0.357,14.4,27.6,20.8,7.1,1.0,3.9,10.0,18.2,7.8,3.0,10.8,0.23,1.3,1.6,2.9,2.8capelca01,Clint Capela,CENTER,24,HOUSTON ROCKETS,67,67,2249,474,732,0,0,166,261,298,550,96,44,102,94,168
carrode01,DeMarre Carroll,POWER FORWARD,32,BROOKLYN NETS,67,1703,12.1,0.546,0.539,0.421,4.2,17.3,10.8,7.2,0.9,0.5,9.7,18.6,1.5,1.6,3.1,0.088,-1.0,-0.7,-1.7,0.1carrode01,DeMarre Carroll,POWER FORWARD,32,BROOKLYN NETS,67,8,1703,227,575,106,310,184,242,68,281,85,31,10,73,114
carteje01,Jevon Carter,POINT GUARD,23,MEMPHIS GRIZZLIES,39,577,7.8,0.432,0.551,0.173,2.7,10.3,6.4,17.4,2.2,1.8,14.2,18.0,-0.7,0.7,0.0,-0.003,-3.8,-0.1,-4.0,-0.3carteje01,Jevon Carter,POINT GUARD,23,MEMPHIS GRIZZLIES,39,3,577,56,185,34,102,26,32,14,52,69,26,11,33,55
cartevi01,Vince Carter,POWER FORWARD,42,ATLANTA HAWKS,76,1330,11.8,0.565,0.675,0.141,2.4,13.2,7.7,9.3,1.5,1.8,8.8,16.7,1.2,0.7,1.9,0.07,-0.2,-1.4,-1.6,0.1cartevi01,Vince Carter,POWER FORWARD,42,ATLANTA HAWKS,76,9,1330,196,468,123,316,47,66,31,163,87,44,27,48,141
cartewe01,Wendell Carter,CENTER,19,CHICAGO BULLS,44,1110,15.2,0.541,0.086,0.302,8.4,21.8,15.0,10.7,1.1,4.5,13.4,19.1,0.7,1.2,1.9,0.08,-2.4,1.8,-0.5,0.4cartewe01,Wendell Carter,CENTER,19,CHICAGO BULLS,44,44,1110,180,371,6,32,89,112,87,220,78,26,58,65,152
cartemi01,Michael Carter-Williams,POINT GUARD,27,HOUSTON ROCKETS,16,145,12.7,0.476,0.311,0.426,2.2,7.8,5.0,22.7,3.0,3.5,12.1,24.7,0.0,0.2,0.1,0.044,-3.3,-0.3,-3.7,-0.1cartemi01,Michael Carter-Williams,POINT GUARD,27,HOUSTON ROCKETS,16,1,145,25,61,7,19,12,26,3,10,21,9,6,10,27
cartemi01,Michael Carter-Williams,POINT GUARD,27,ORLANDO MAGIC,12,227,16.1,0.44,0.306,0.435,7.4,19.6,13.5,28.9,2.4,3.3,11.9,16.1,0.2,0.4,0.6,0.134,-1.1,3.5,2.4,0.3cartemi01,Michael Carter-Williams,POINT GUARD,27,ORLANDO MAGIC,12,0,227,21,62,3,19,20,27,16,41,49,11,9,10,21
carusal01,Alex Caruso,POINT GUARD,24,LOS ANGELES LAKERS,25,531,13.9,0.569,0.289,0.37,4.0,9.0,6.5,19.7,2.1,1.4,17.3,19.0,0.5,0.6,1.0,0.093,-0.9,0.0,-0.9,0.2carusal01,Alex Caruso,POINT GUARD,24,LOS ANGELES LAKERS,25,4,531,77,173,24,50,51,64,20,47,77,24,9,42,54
casspom01,Omri Casspi,SMALL FORWARD,30,MEMPHIS GRIZZLIES,36,520,15.7,0.606,0.267,0.36,3.6,21.5,12.4,8.1,1.9,1.6,11.0,18.0,0.6,0.7,1.3,0.119,-2.0,0.1,-1.8,0.0casspom01,Omri Casspi,SMALL FORWARD,30,MEMPHIS GRIZZLIES,36,0,520,86,161,15,43,39,58,17,98,26,20,9,23,35
caulewi01,Willie Cauley-Stein,CENTER,25,SACRAMENTO KINGS,81,2213,18.0,0.566,0.003,0.343,8.2,23.7,15.8,12.3,2.0,2.0,9.0,17.5,3.8,2.9,6.7,0.146,-0.2,2.2,2.0,2.3caulewi01,Willie Cauley-Stein,CENTER,25,SACRAMENTO KINGS,81,81,2213,412,741,1,2,140,254,181,497,194,96,51,84,227
caupatr01,Troy Caupain,POINT GUARD,23,ORLANDO MAGIC,4,16,30.7,0.625,0.375,0.0,6.6,13.6,10.0,42.5,3.1,0.0,0.0,21.8,0.1,0.0,0.1,0.347,9.4,-0.4,8.9,0.0caupatr01,Troy Caupain,POINT GUARD,23,ORLANDO MAGIC,4,0,16,4,8,2,3,0,0,1,2,4,1,0,0,0
cavanty01,Tyler Cavanaugh,POWER FORWARD,24,UTAH JAZZ,11,39,5.0,0.414,0.5,0.2,8.5,13.6,11.1,3.4,0.0,0.0,8.4,13.0,0.0,0.0,0.0,0.026,-4.8,-2.1,-6.9,0.0cavanty01,Tyler Cavanaugh,POWER FORWARD,24,UTAH JAZZ,11,0,39,3,10,1,5,2,2,3,5,1,0,0,1,3
chandty01,Tyson Chandler,CENTER,36,PHOENIX SUNS,7,89,11.5,0.653,0.0,1.5,8.6,40.5,24.3,9.1,1.1,0.9,26.0,13.0,0.1,0.1,0.2,0.092,-5.0,0.0,-5.0,-0.1chandty01,Tyson Chandler,CENTER,36,PHOENIX SUNS,7,0,89,8,12,0,0,10,18,7,32,6,2,1,7,21
chandty01,Tyson Chandler,CENTER,36,LOS ANGELES LAKERS,48,786,11.2,0.626,0.011,0.793,11.4,23.6,17.6,4.8,1.1,2.3,23.0,8.0,0.9,1.1,1.9,0.117,-2.9,2.0,-0.9,0.2chandty01,Tyson Chandler,CENTER,36,LOS ANGELES LAKERS,48,6,786,53,87,0,1,41,69,85,183,31,19,22,35,89
chandwi01,Wilson Chandler,POWER FORWARD,31,PHILADELPHIA 76ERS,36,951,9.1,0.561,0.57,0.087,5.0,13.4,9.4,9.9,1.1,1.5,15.4,11.2,0.6,0.9,1.5,0.074,-0.8,0.6,-0.1,0.4chandwi01,Wilson Chandler,POWER FORWARD,31,PHILADELPHIA 76ERS,36,32,951,91,207,46,118,13,18,44,124,72,22,18,39,94
chandwi01,Wilson Chandler,SMALL FORWARD,31,LOS ANGELES CLIPPERS,15,226,5.8,0.463,0.606,0.106,1.9,19.5,11.0,5.9,0.6,1.1,9.2,14.2,-0.1,0.2,0.0,0.009,-3.5,-1.3,-4.8,-0.2chandwi01,Wilson Chandler,SMALL FORWARD,31,LOS ANGELES CLIPPERS,15,1,226,23,66,13,40,5,7,4,43,10,3,3,7,29
chealjo01,Joe Chealey,POINT GUARD,23,CHARLOTTE HORNETS,1,8,2.0,0.333,0.0,0.0,0.0,0.0,0.0,17.7,0.0,0.0,0.0,16.2,0.0,0.0,0.0,-0.08,-9.0,-8.2,-17.2,0.0chealjo01,Joe Chealey,POINT GUARD,23,CHARLOTTE HORNETS,1,0,8,1,3,0,0,0,0,0,0,1,0,0,0,1
chiozch01,Chris Chiozza,POINT GUARD,23,HOUSTON ROCKETS,7,33,7.0,0.375,0.625,0.0,3.3,10.3,6.7,16.1,1.5,2.6,11.1,11.8,0.0,0.0,0.0,0.023,-4.5,-0.2,-4.7,0.0chiozch01,Chris Chiozza,POINT GUARD,23,HOUSTON ROCKETS,7,0,33,2,8,2,5,0,0,1,3,4,1,1,1,2
chrisma01,Marquese Chriss,POWER FORWARD,21,HOUSTON ROCKETS,16,104,3.4,0.391,0.441,0.206,7.3,22.8,14.9,8.2,0.9,3.3,24.4,20.5,-0.3,0.1,-0.2,-0.101,-9.2,-0.2,-9.4,-0.2chrisma01,Marquese Chriss,POWER FORWARD,21,HOUSTON ROCKETS,16,0,104,11,34,1,15,6,7,7,21,6,2,4,12,17
chrisma01,Marquese Chriss,POWER FORWARD,21,CLEVELAND CAVALIERS,27,395,10.7,0.47,0.39,0.26,8.9,23.8,16.0,6.1,1.9,1.5,12.9,20.7,-0.3,0.2,0.0,-0.003,-3.7,-1.7,-5.4,-0.3chrisma01,Marquese Chriss,POWER FORWARD,21,CLEVELAND CAVALIERS,27,2,395,56,146,15,57,26,38,33,81,16,15,7,24,64
clarkga01,Gary Clark,POWER FORWARD,24,HOUSTON ROCKETS,51,641,9.2,0.48,0.914,0.046,4.1,16.2,10.0,3.8,1.5,3.5,4.3,10.9,0.3,0.7,1.0,0.071,-2.4,0.6,-1.8,0.0clarkga01,Gary Clark,POWER FORWARD,24,HOUSTON ROCKETS,51,2,641,50,151,41,138,7,7,24,92,18,20,26,7,47
clarkia01,Ian Clark,SHOOTING GUARD,27,NEW ORLEANS PELICANS,60,973,8.3,0.502,0.527,0.097,1.4,8.0,4.7,12.9,1.1,0.7,12.7,19.3,-0.4,0.3,-0.1,-0.003,-2.2,-2.9,-5.1,-0.8clarkia01,Ian Clark,SHOOTING GUARD,27,NEW ORLEANS PELICANS,60,6,973,151,383,66,202,33,37,13,76,94,22,8,58,95
clarkjo01,Jordan Clarkson,SHOOTING GUARD,26,CLEVELAND CAVALIERS,81,2214,16.8,0.539,0.377,0.163,3.9,9.9,6.8,15.6,1.3,0.5,9.6,27.6,1.9,-0.1,1.8,0.039,1.5,-3.5,-2.0,0.0clarkjo01,Jordan Clarkson,SHOOTING GUARD,26,CLEVELAND CAVALIERS,81,0,2214,529,1180,144,445,162,192,82,188,196,57,13,135,112
collijo01,John Collins,POWER FORWARD,21,ATLANTA HAWKS,61,1829,21.8,0.627,0.19,0.32,12.3,22.1,17.1,11.0,0.6,1.8,11.2,23.7,5.0,1.0,6.0,0.158,2.6,-1.2,1.4,1.6collijo01,John Collins,POWER FORWARD,21,ATLANTA HAWKS,61,59,1829,465,831,55,158,203,266,219,376,121,22,39,120,199
colliza01,Zach Collins,CENTER,21,PORTLAND TRAIL BLAZERS,77,1356,13.5,0.562,0.303,0.315,8.8,16.5,12.7,7.1,0.9,3.9,14.5,16.6,1.4,1.5,2.9,0.104,-0.9,1.0,0.1,0.7colliza01,Zach Collins,CENTER,21,PORTLAND TRAIL BLAZERS,77,0,1356,189,400,40,121,94,126,109,215,71,25,66,77,174
