Name,Position,Score
Taj Gibson,POWER FORWARD,1519.9155999999998
Noah Vonleh,POWER FORWARD,1519.44805
Emmanuel Mudiay,POINT GUARD,1499.7165499999999
Dwight Powell,CENTER,1487.8141
Derrick Rose,POINT GUARD,1465.21785
Jalen Brunson,POINT GUARD,1462.62245
DeAndre' Bembry,SHOOTING GUARD,1450.4704000000002
Marco Belinelli,SHOOTING GUARD,1448.22285
Dario Šarić,POWER FORWARD,1447.50895
Brandon Ingram,SMALL FORWARD,1445.71775
Tyus Jones,POINT GUARD,1440.05455
Rajon Rondo,POINT GUARD,1418.52365
Kent Bazemore,SHOOTING GUARD,1406.77035
DeAndre Jordan,CENTER,1405.8036
Marvin Bagley,POWER FORWARD,1399.1231
Dorian Finney-Smith,SMALL FORWARD,1395.3015
Lonzo Ball,POINT GUARD,1371.10935
Dāvis Bertāns,POWER FORWARD,1362.8416
Miles Bridges,SMALL FORWARD,1357.6024
Tim Hardaway,SHOOTING GUARD,1344.64655
Evan Turner,POINT GUARD,1343.9202
Harrison Barnes,POWER FORWARD,1337.6669
Taurean Waller-Prince,SMALL FORWARD,1335.2337499999999
Kevon Looney,CENTER,1332.7918
Elfrid Payton,POINT GUARD,1330.7801
Ed Davis,CENTER,1330.1516
Gary Harris,SHOOTING GUARD,1323.1313
Kris Dunn,POINT GUARD,1322.4792
Trevor Ariza,SMALL FORWARD,1309.0969
Langston Galloway,SHOOTING GUARD,1295.0466999999999
DeMarre Carroll,POWER FORWARD,1292.8473
Victor Oladipo,SHOOTING GUARD,1292.68595
Jeff Teague,POINT GUARD,1291.0913999999998
Jaren Jackson,POWER FORWARD,1273.93455
Tyreke Evans,SHOOTING GUARD,1249.9891499999999
Robin Lopez,CENTER,1249.4749
Andre Iguodala,SMALL FORWARD,1244.78435
Terrance Ferguson,SHOOTING GUARD,1241.1783
John Wall,POINT GUARD,1237.35135
T.J. McConnell,POINT GUARD,1234.29275
Darius Miller,SMALL FORWARD,1221.7375
Rodney McGruder,SHOOTING GUARD,1217.9355
Enes Kanter,CENTER,1207.37925
T.J. Warren,SMALL FORWARD,1206.034
Luke Kennard,SHOOTING GUARD,1203.098
Jakob Pöltl,CENTER,1197.942
Josh Okogie,SHOOTING GUARD,1193.8745999999999
Vince Carter,POWER FORWARD,1184.61325
Josh Hart,SHOOTING GUARD,1172.5013
Royce O'Neale,SMALL FORWARD,1171.69945
Gerald Green,SHOOTING GUARD,1165.94775
E'Twaun Moore,SHOOTING GUARD,1163.53335
Tristan Thompson,CENTER,1161.62255
Maxi Kleber,POWER FORWARD,1156.2339499999998
Maurice Harkless,SMALL FORWARD,1133.1323499999999
Quinn Cook,POINT GUARD,1124.16325
Torrey Craig,SMALL FORWARD,1119.1323499999999
Cody Zeller,CENTER,1115.68555
Mitchell Robinson,CENTER,1115.1496000000002
Jonas Jerebko,POWER FORWARD,1113.2894000000001
Jake Layman,SMALL FORWARD,1112.2847
Ish Smith,POINT GUARD,1112.14925
Malik Monk,SHOOTING GUARD,1110.2009
Reggie Bullock,SHOOTING GUARD,1107.07845
Pat Connaughton,SHOOTING GUARD,1100.50865
Will Barton,SHOOTING GUARD,1081.22005
Dion Waiters,SHOOTING GUARD,1074.6765
Shaquille Harrison,POINT GUARD,1072.7947
Otto Porter,SMALL FORWARD,1071.21255
Lance Stephenson,SHOOTING GUARD,1066.6514499999998
Rodions Kurucs,SMALL FORWARD,1063.36725
Wesley Matthews,SMALL FORWARD,1057.9578000000001
Caris LeVert,SMALL FORWARD,1048.08045
Rondae Hollis-Jefferson,SMALL FORWARD,1046.4732
Jamal Crawford,SHOOTING GUARD,1038.2311
Richaun Holmes,CENTER,1038.09735
Seth Curry,SHOOTING GUARD,1026.8497499999999
Zach Collins,CENTER,1024.4731
Trey Lyles,POWER FORWARD,1016.52
Juan Hernangómez,POWER FORWARD,1013.989
Rodney Hood,SHOOTING GUARD,1011.9670999999998
Gorgui Dieng,CENTER,1010.9936
Tony Snell,SMALL FORWARD,1010.42425
James Johnson,POWER FORWARD,1007.6660999999999
Ersan İlyasova,POWER FORWARD,1000.6124
Allonzo Trier,SHOOTING GUARD,998.0232000000001
Doug McDermott,SMALL FORWARD,993.25585
Wendell Carter,CENTER,989.5270500000001
Justin Holiday,SHOOTING GUARD,989.0715500000001
Bruce Brown,SHOOTING GUARD,983.91345
Tony Parker,POINT GUARD,983.2305999999999
Goran Dragić,POINT GUARD,978.9358499999998
Garrett Temple,SHOOTING GUARD,978.2075500000001
Kyle Anderson,SMALL FORWARD,977.78845
Kelly Oubre,SMALL FORWARD,977.1377499999999
Nikola Mirotić,POWER FORWARD,972.5695499999999
Mario Hezonja,SMALL FORWARD,971.2048500000001
Yogi Ferrell,POINT GUARD,954.9625000000001
Avery Bradley,SHOOTING GUARD,951.0382
Jahlil Okafor,CENTER,944.85015
Shelvin Mack,POINT GUARD,941.4049500000001
Ante Žižić,CENTER,940.0695000000001
Jabari Parker,POWER FORWARD,939.87715
Shabazz Napier,POINT GUARD,936.7217
Tobias Harris,POWER FORWARD,925.9630999999999
DeMarcus Cousins,CENTER,923.0931
Norman Powell,SHOOTING GUARD,919.3247999999999
OG Anunoby,SMALL FORWARD,919.1422
Frank Jackson,POINT GUARD,917.06085
Kyle Korver,SHOOTING GUARD,912.14345
Iman Shumpert,SHOOTING GUARD,911.36555
Jeremy Lin,POINT GUARD,908.7197000000001
Nerlens Noel,CENTER,902.1754000000001
J.J. Barea,POINT GUARD,896.78475
Austin Rivers,SHOOTING GUARD,896.01055
Tyler Johnson,POINT GUARD,884.642
Kenrich Williams,SMALL FORWARD,871.18925
Sterling Brown,SHOOTING GUARD,864.91815
Tim Frazier,POINT GUARD,863.5576
Meyers Leonard,CENTER,862.7737500000001
Devin Harris,POINT GUARD,860.66635
Daniel Theis,CENTER,858.7212000000001
Justin Holiday,SHOOTING GUARD,858.3304499999999
Michael Kidd-Gilchrist,POWER FORWARD,851.68265
Willy Hernangómez,CENTER,849.98435
