Name,Position,Score
Tyler Zeller,CENTER,15.545000000000002
Donatas Motiejūnas,POWER FORWARD,14.831800000000001
Ike Anigbogu,CENTER,13.495000000000001
Ángel Delgado,CENTER,12.96775
Shelvin Mack,POINT GUARD,12.91255
Andre Ingram,SHOOTING GUARD,12.545000000000002
Vince Edwards,SMALL FORWARD,12.52375
Terrence Jones,POWER FORWARD,12.271250000000002
Okaro White,POWER FORWARD,11.965
Yante Maten,POWER FORWARD,11.807500000000001
Mitch Creek,SMALL FORWARD,11.64
Kalin Lucas,POINT GUARD,9.5516
Donte Grantham,SMALL FORWARD,9.02
Tahjere McCall,SHOOTING GUARD,8.43905
Eric Moreland,POWER FORWARD,7.71
Jordan Sibert,SHOOTING GUARD,7.115
Joe Chealey,POINT GUARD,7.09665
Emanuel Terry,POWER FORWARD,6.978299999999999
Tyler Davis,CENTER,6.59
Kostas Antetokounmpo,POWER FORWARD,5.565499999999999
B.J. Johnson,SMALL FORWARD,5.085
Andrew Harrison,POINT GUARD,5.074999999999999
Zhou Qi,POWER FORWARD,5.06
George King,SMALL FORWARD,4.52
D.J. Stephens,SHOOTING GUARD,3.1449999999999996
Kobi Simmons,POINT GUARD,3.02
Jawun Evans,POINT GUARD,3.01
John Holland,SMALL FORWARD,3.01
Ray Spalding,POWER FORWARD,3.01
Tyler Ulis,POINT GUARD,3.01
Zach Lofton,SHOOTING GUARD,1.0899999999999999
