Name,Position,Score
Elfrid Payton,POINT GUARD,1342.7385
Eric Paschall,POWER FORWARD,1336.46855
Rudy Gay,POWER FORWARD,1334.70765
D'Angelo Russell,POINT GUARD,1334.5879
Larry Nance Jr.,POWER FORWARD,1324.9204
Bruce Brown,POINT GUARD,1324.8409
Mike Conley,POINT GUARD,1324.76185
Ben McLemore,SMALL FORWARD,1323.0261
Thaddeus Young,POWER FORWARD,1305.33105
Cory Joseph,POINT GUARD,1302.61585
Derrick Favors,CENTER,1292.3310000000001
Cody Zeller,CENTER,1289.6238
Norman Powell,SHOOTING GUARD,1287.6612
Bobby Portis,POWER FORWARD,1285.6515
Justin Holiday,SMALL FORWARD,1284.94425
Patty Mills,POINT GUARD,1283.8746
Marcus Morris,SMALL FORWARD,1282.0491
Tyus Jones,POINT GUARD,1281.9666
Deandre Ayton,CENTER,1276.9184
Patrick Beverley,POINT GUARD,1276.463
Christian Wood,POWER FORWARD,1275.51795
Tyler Herro,SHOOTING GUARD,1275.0225
Doug McDermott,POWER FORWARD,1260.351
Alec Burks,SMALL FORWARD,1257.7676000000001
Furkan Korkmaz,SHOOTING GUARD,1252.61895
Clint Capela,CENTER,1250.9213
Langston Galloway,SHOOTING GUARD,1246.8992
Damion Lee,SHOOTING GUARD,1245.0124
Brandon Clarke,POWER FORWARD,1242.98315
Kyle Kuzma,POWER FORWARD,1239.1765500000001
Wesley Matthews,SHOOTING GUARD,1237.57735
Rui Hachimura,POWER FORWARD,1231.07175
Glenn Robinson III,SMALL FORWARD,1229.6937
Trey Lyles,POWER FORWARD,1222.95285
Thomas Bryant,CENTER,1217.29245
D.J. Augustin,POINT GUARD,1216.2577
Tony Snell,SMALL FORWARD,1215.5799000000002
Gary Harris,SHOOTING GUARD,1214.33095
DeAndre Jordan,CENTER,1212.1991
Robert Covington,POWER FORWARD,1210.6736
Kentavious Caldwell-Pope,SHOOTING GUARD,1208.3692
Kelly Olynyk,CENTER,1202.38605
Draymond Green,POWER FORWARD,1198.58445
JaVale McGee,CENTER,1179.4276
Jarrett Culver,SHOOTING GUARD,1178.90335
George Hill,POINT GUARD,1175.93795
Paul Millsap,POWER FORWARD,1168.53955
Mitchell Robinson,CENTER,1163.7163
Jae Crowder,SMALL FORWARD,1159.59535
Austin Rivers,SHOOTING GUARD,1154.1071
Terence Davis,SHOOTING GUARD,1146.8344
Kyle Anderson,SMALL FORWARD,1145.0417
Marquese Chriss,POWER FORWARD,1136.8652
Jeremy Lamb,SHOOTING GUARD,1115.8123500000002
Jakob Poeltl,CENTER,1104.2056
Cam Reddish,SMALL FORWARD,1091.46
Marc Gasol,CENTER,1081.66255
Dwight Howard,CENTER,1077.1548
JaMychal Green,POWER FORWARD,1074.3188
Jalen Brunson,POINT GUARD,1059.94265
Richaun Holmes,CENTER,1052.76405
Anfernee Simons,SHOOTING GUARD,1044.3901
Enes Kanter,CENTER,1043.68495
Cameron Johnson,POWER FORWARD,1041.0943
De'Anthony Melton,POINT GUARD,1029.69005
Kris Dunn,POINT GUARD,1028.0205
Sviatoslav Mykhailiuk,SMALL FORWARD,1023.0138999999999
